ITEM,INSTALL,DISCIPLINE,SUBCONTRACTOR,TAG,SYSTEM,DESCRIPTION,LEVEL,PQT DW,PQT BW,GQE,OBS
168,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT24,HVAC,Temperature Transmitter (PT100),3,,,,
169,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT25,HVAC,Temperature Transmitter (PT100),3,,,,
170,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT26,HVAC,Temperature Transmitter (PT100),3,,,,
171,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT27,HVAC,Temperature Transmitter (PT100),3,,,,
172,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT28,HVAC,Temperature Transmitter (PT100),3,,,,
173,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT29,HVAC,Temperature Transmitter (PT100),3,,,,
174,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT30,HVAC,Temperature Transmitter (PT100),3,,,,
175,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT31,HVAC,Temperature Transmitter (PT100),3,,,,
176,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT32,HVAC,Temperature Transmitter (PT100),3,,,,
177,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT33,HVAC,Temperature Transmitter (PT100),3,,,,
178,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT34,HVAC,Temperature Transmitter (PT100),3,,,,
179,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT35,HVAC,Temperature Transmitter (PT100),3,,,,
180,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT36,HVAC,Temperature Transmitter (PT100),3,,,,
181,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT37,HVAC,Temperature Transmitter (PT100),3,,,,
182,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT38,HVAC,Temperature Transmitter (PT100),3,,,,
183,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT39,-,Temperature Transmitter (PT100),2,,,,
184,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT40,-,Temperature Transmitter (PT100),2,,,,
185,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT41,-,Temperature Transmitter (PT100),2,,,,
186,PINE,INS,Pine Inst y Montajes SAU,#HKF.BW41=213.UBZ02-BT42,-,Temperature Transmitter (PT100),2,,,,
